name,year,bat,g,ab,h,ba,bb,dbl,dbl.pg,pg,hr,hr.pg,sb,cs,sba,sb.pg,sf,sh,tb,slg.pct,trp,trp.pg,r,r.pg,through
Iona,2010,besr,31,1037,283,0.273,111,31,53,1.71,25,0.81,41,7,48,1.32,14,4,425,0.41,7,0.23,178,5.7,4/18/10
Delaware St.,2010,besr,30,950,259,0.273,165,30,57,1.9,16,0.53,16,7,23,0.53,20,15,368,0.387,2,0.07,209,7,4/18/10
St. Mary's (CA),2010,besr,32,1091,297,0.272,89,32,48,1.5,27,0.84,24,16,40,0.75,7,42,438,0.401,6,0.19,162,5.1,4/18/10
Missouri St.,2010,besr,33,1122,305,0.272,141,33,59,1.79,25,0.76,30,13,43,0.91,12,24,443,0.395,2,0.06,170,5.2,4/18/10
Pepperdine,2010,besr,31,1067,290,0.272,112,31,58,1.87,16,0.52,21,9,30,0.68,8,18,402,0.377,3,0.1,167,5.4,4/18/10
NJIT,2010,besr,30,966,262,0.271,125,30,55,1.83,9,0.3,21,8,29,0.7,3,16,352,0.364,4,0.13,128,4.3,4/18/10
Monmouth,2010,besr,30,992,269,0.271,89,30,59,1.97,22,0.73,36,9,45,1.2,10,23,410,0.413,8,0.27,179,6,4/18/10
LIU Brooklyn,2010,besr,33,1014,274,0.27,117,33,53,1.61,17,0.52,26,23,49,0.79,12,24,386,0.381,4,0.12,149,4.5,4/18/10
IPFW,2010,besr,33,1123,302,0.269,105,33,55,1.67,31,0.94,15,15,30,0.45,7,8,458,0.408,4,0.12,161,4.9,4/18/10
Hawaii,2010,besr,36,1157,311,0.269,155,36,53,1.47,30,0.83,18,14,32,0.5,14,20,474,0.41,10,0.28,193,5.4,4/18/10
Kennesaw St.,2010,besr,38,1340,360,0.269,140,38,67,1.76,31,0.82,42,16,58,1.11,12,21,532,0.397,6,0.16,233,6.1,4/18/10
Alabama A&M,2010,besr,37,1098,293,0.267,131,37,51,1.38,12,0.32,101,24,125,2.73,12,12,400,0.364,10,0.27,210,5.7,4/18/10
Quinnipiac,2010,besr,29,950,253,0.266,112,29,35,1.21,9,0.31,16,9,25,0.55,4,6,321,0.338,3,0.1,122,4.2,4/18/10
Eastern Ill.,2010,besr,34,1140,303,0.266,122,34,56,1.65,20,0.59,26,8,34,0.76,8,28,423,0.371,2,0.06,169,5,4/18/10
UTSA,2010,besr,34,1148,305,0.266,98,34,69,2.03,42,1.24,16,10,26,0.47,8,11,516,0.449,8,0.24,205,6,4/18/10
Saint Peter's,2010,besr,32,1066,283,0.265,121,32,61,1.91,20,0.63,44,10,54,1.38,10,16,410,0.385,3,0.09,166,5.2,4/18/10
Wake Forest,2010,besr,38,1314,347,0.264,174,38,87,2.29,30,0.79,71,17,88,1.87,11,14,528,0.402,2,0.05,214,5.6,4/18/10
Centenary (LA),2010,besr,31,982,259,0.264,137,31,56,1.81,19,0.61,52,16,68,1.68,10,27,380,0.387,4,0.13,173,5.6,4/18/10
Chicago St.,2010,besr,29,907,239,0.264,93,29,44,1.52,10,0.34,27,10,37,0.93,10,13,317,0.35,2,0.07,109,3.8,4/18/10
Harvard,2010,besr,33,1037,272,0.262,134,33,55,1.67,11,0.33,44,20,64,1.33,12,11,376,0.363,8,0.24,160,4.8,4/18/10
Alabama St.,2010,besr,22,713,187,0.262,85,22,43,1.95,7,0.32,45,16,61,2.05,3,9,253,0.355,1,0.05,139,6.3,4/18/10
Princeton,2010,besr,32,1100,287,0.261,99,32,51,1.59,27,0.84,18,5,23,0.56,12,15,429,0.39,5,0.16,159,5,4/18/10
Albany (NY),2010,besr,28,930,242,0.26,112,28,28,1,20,0.71,38,11,49,1.36,10,9,336,0.361,3,0.11,131,4.7,4/18/10
Oregon St.,2010,besr,31,1040,270,0.26,145,31,65,2.1,21,0.68,27,10,37,0.87,14,23,410,0.394,6,0.19,202,6.5,4/18/10
Cleveland St.,2010,besr,33,1137,295,0.259,88,33,70,2.12,32,0.97,29,18,47,0.88,7,17,483,0.425,11,0.33,194,5.9,4/18/10
Oakland,2010,besr,29,928,240,0.259,86,29,49,1.69,11,0.38,30,15,45,1.03,8,13,334,0.36,6,0.21,107,3.7,4/18/10
Northern Ill.,2010,besr,34,1166,301,0.258,139,34,44,1.29,16,0.47,46,12,58,1.35,13,24,405,0.347,6,0.18,168,4.9,4/18/10
UMBC,2010,besr,28,927,236,0.255,108,28,43,1.54,9,0.32,18,6,24,0.64,10,12,314,0.339,4,0.14,127,4.5,4/18/10
Maryland,2010,besr,38,1228,311,0.253,126,38,58,1.53,21,0.55,87,30,117,2.29,17,43,434,0.353,1,0.03,173,4.6,4/18/10
UNC Greensboro,2010,besr,36,1218,305,0.25,161,36,56,1.56,20,0.56,40,11,51,1.11,14,27,447,0.367,13,0.36,212,5.9,4/18/10
Cincinnati,2010,besr,34,1105,271,0.245,116,34,43,1.26,17,0.5,39,15,54,1.15,15,22,371,0.336,3,0.09,169,5,4/18/10
Seton Hall,2010,besr,33,1084,263,0.243,128,33,61,1.85,5,0.15,32,15,47,0.97,21,29,369,0.34,15,0.45,154,4.7,4/18/10
UMES,2010,besr,34,1023,237,0.232,83,34,33,0.97,8,0.24,48,15,63,1.41,4,15,308,0.301,7,0.21,104,3.1,4/18/10
Georgia St.,2010,besr,41,1541,578,0.375,225,41,114,2.78,72,1.76,66,17,83,1.61,34,30,934,0.606,13,0.32,483,11.8,4/25/10
Pittsburgh,2010,besr,40,1520,561,0.369,180,40,114,2.85,29,0.73,71,21,92,1.78,20,25,790,0.52,14,0.35,397,9.9,4/25/10
Utah Valley,2010,besr,35,1333,481,0.361,140,35,110,3.14,49,1.4,25,11,36,0.71,14,5,764,0.573,13,0.37,334,9.5,4/25/10
Southeast Mo. St.,2010,besr,39,1409,503,0.357,138,39,98,2.51,60,1.54,34,16,50,0.87,21,12,793,0.563,6,0.15,343,8.8,4/25/10
New Mexico St.,2010,besr,44,1637,582,0.356,303,44,116,2.64,87,1.98,19,5,24,0.43,20,9,983,0.6,12,0.27,477,10.8,4/25/10
New Mexico,2010,besr,41,1516,531,0.35,167,41,115,2.8,27,0.66,32,24,56,0.78,20,40,763,0.503,18,0.44,345,8.4,4/25/10
Auburn,2010,besr,41,1483,518,0.349,170,41,87,2.12,71,1.73,42,19,61,1.02,30,37,844,0.569,13,0.32,373,9.1,4/25/10
Central Conn. St.,2010,besr,32,1144,397,0.347,127,32,76,2.38,34,1.06,18,3,21,0.56,13,12,599,0.524,12,0.38,266,8.3,4/25/10
Arizona,2010,besr,39,1390,481,0.346,133,39,89,2.28,24,0.62,77,26,103,1.97,18,35,684,0.492,21,0.54,315,8.1,4/25/10
Dallas Baptist,2010,besr,39,1420,490,0.345,180,39,102,2.62,62,1.59,20,7,27,0.51,21,18,794,0.559,8,0.21,349,8.9,4/25/10
Arizona St.,2010,besr,38,1308,449,0.343,199,38,94,2.47,34,0.89,79,29,108,2.08,16,15,697,0.533,26,0.68,326,8.6,4/25/10
Virginia,2010,besr,43,1540,526,0.342,219,43,114,2.65,35,0.81,66,18,84,1.53,36,26,795,0.516,25,0.58,369,8.6,4/25/10
VMI,2010,besr,41,1476,504,0.341,129,41,108,2.63,68,1.66,65,27,92,1.59,17,28,836,0.566,10,0.24,348,8.5,4/25/10
High Point,2010,besr,43,1533,523,0.341,174,43,109,2.53,43,1,80,23,103,1.86,27,32,781,0.509,10,0.23,380,8.8,4/25/10
Morehead St.,2010,besr,41,1472,502,0.341,159,41,79,1.93,88,2.15,49,15,64,1.2,22,6,865,0.588,10,0.24,389,9.5,4/25/10
North Carolina St.,2010,besr,42,1593,542,0.34,236,42,114,2.71,65,1.55,35,14,49,0.83,20,18,871,0.547,10,0.24,417,9.9,4/25/10
FIU,2010,besr,39,1373,467,0.34,184,39,81,2.08,34,0.87,59,18,77,1.51,31,20,658,0.479,4,0.1,304,7.8,4/25/10
Campbell,2010,besr,41,1500,510,0.34,139,41,116,2.83,20,0.49,102,23,125,2.49,20,34,714,0.476,14,0.34,333,8.1,4/25/10
Charlotte,2010,besr,38,1348,458,0.34,203,38,78,2.05,31,0.82,67,17,84,1.76,19,24,649,0.481,10,0.26,357,9.4,4/25/10
Wright St.,2010,besr,35,1264,429,0.339,117,35,84,2.4,24,0.69,29,17,46,0.83,19,38,623,0.493,19,0.54,277,7.9,4/25/10
TCU,2010,besr,38,1375,466,0.339,145,38,108,2.84,49,1.29,45,20,65,1.18,20,31,749,0.545,14,0.37,333,8.8,4/25/10
South Dakota St.,2010,besr,36,1358,460,0.339,136,36,90,2.5,47,1.31,28,9,37,0.78,20,20,711,0.524,10,0.28,344,9.6,4/25/10
Delaware,2010,besr,38,1405,475,0.338,134,38,104,2.74,52,1.37,32,17,49,0.84,13,3,751,0.535,8,0.21,307,8.1,4/25/10
Georgia Tech,2010,besr,41,1488,503,0.338,222,41,93,2.27,90,2.2,39,18,57,0.95,22,16,908,0.61,21,0.51,419,10.2,4/25/10
Mercer,2010,besr,45,1637,549,0.335,179,45,117,2.6,65,1.44,68,12,80,1.51,28,25,875,0.535,7,0.16,377,8.4,4/25/10
Ohio St.,2010,besr,35,1271,426,0.335,151,35,63,1.8,27,0.77,21,15,36,0.6,20,14,592,0.466,11,0.31,260,7.4,4/25/10
Michigan St.,2010,besr,37,1334,447,0.335,145,37,80,2.16,28,0.76,72,25,97,1.95,22,23,651,0.488,20,0.54,314,8.5,4/25/10
Cal St. Fullerton,2010,besr,37,1295,433,0.334,116,37,93,2.51,39,1.05,66,23,89,1.78,16,40,675,0.521,16,0.43,276,7.5,4/25/10
UCF,2010,besr,43,1543,515,0.334,191,43,96,2.23,57,1.33,58,16,74,1.35,18,21,792,0.513,5,0.12,336,7.8,4/25/10
NYIT,2010,besr,32,1103,368,0.334,118,32,59,1.84,35,1.09,51,10,61,1.59,13,24,538,0.488,3,0.09,236,7.4,4/25/10
Louisiana Tech,2010,besr,39,1421,474,0.334,137,39,91,2.33,53,1.36,34,21,55,0.87,22,14,736,0.518,6,0.15,330,8.5,4/25/10
FGCU,2010,besr,39,1425,474,0.333,166,39,98,2.51,34,0.87,30,7,37,0.77,17,34,690,0.484,8,0.21,323,8.3,4/25/10
Milwaukee,2010,besr,34,1185,394,0.332,127,34,73,2.15,25,0.74,39,14,53,1.15,17,9,566,0.478,12,0.35,245,7.2,4/25/10
St. John's (NY),2010,besr,38,1381,459,0.332,157,38,99,2.61,30,0.79,49,13,62,1.29,18,30,680,0.492,16,0.42,325,8.6,4/25/10
Bethune-Cookman,2010,besr,42,1432,473,0.33,129,42,83,1.98,59,1.4,60,23,83,1.43,15,18,757,0.529,12,0.29,322,7.7,4/25/10
Pacific,2010,besr,38,1345,442,0.329,112,38,86,2.26,21,0.55,32,13,45,0.84,15,28,613,0.456,11,0.29,245,6.4,4/25/10
Middle Tenn.,2010,besr,41,1553,510,0.328,154,41,93,2.27,68,1.66,42,17,59,1.02,9,19,823,0.53,8,0.2,343,8.4,4/25/10
Kansas St.,2010,besr,37,1261,414,0.328,181,37,81,2.19,19,0.51,81,28,109,2.19,17,41,572,0.454,10,0.27,298,8.1,4/25/10
Liberty,2010,besr,40,1439,472,0.328,150,40,102,2.55,28,0.7,37,17,54,0.93,32,24,674,0.468,8,0.2,324,8.1,4/25/10
East Carolina,2010,besr,41,1446,474,0.328,201,41,99,2.41,55,1.34,51,17,68,1.24,25,18,746,0.516,4,0.1,342,8.3,4/25/10
Savannah St.,2010,besr,42,1452,475,0.327,166,42,106,2.52,25,0.6,138,40,178,3.29,24,21,676,0.466,10,0.24,370,8.8,4/25/10
George Mason,2010,besr,38,1396,456,0.327,165,38,99,2.61,30,0.79,36,13,49,0.95,32,25,669,0.479,12,0.32,336,8.8,4/25/10
Arkansas,2010,besr,41,1470,480,0.327,186,41,85,2.07,59,1.44,58,11,69,1.41,18,15,756,0.514,7,0.17,358,8.7,4/25/10
Holy Cross,2010,besr,40,1376,449,0.326,161,40,91,2.28,34,0.85,40,17,57,1,16,23,674,0.49,16,0.4,300,7.5,4/25/10
Penn,2010,besr,37,1288,420,0.326,142,37,99,2.68,37,1,51,10,61,1.38,17,12,654,0.508,12,0.32,308,8.3,4/25/10
South Ala.,2010,besr,44,1565,509,0.325,164,44,100,2.27,37,0.84,86,25,111,1.95,25,22,740,0.473,10,0.23,368,8.4,4/25/10
Stephen F. Austin,2010,besr,38,1338,435,0.325,143,38,103,2.71,41,1.08,64,23,87,1.68,20,23,677,0.506,8,0.21,283,7.4,4/25/10
East Tenn. St.,2010,besr,39,1415,460,0.325,182,39,92,2.36,62,1.59,37,13,50,0.95,14,10,760,0.537,11,0.28,341,8.7,4/25/10
California,2010,besr,37,1321,429,0.325,137,37,92,2.49,30,0.81,39,16,55,1.05,13,36,645,0.488,17,0.46,279,7.5,4/25/10
Canisius,2010,besr,41,1402,455,0.325,169,41,89,2.17,50,1.22,73,22,95,1.78,21,23,712,0.508,9,0.22,358,8.7,4/25/10
Tennessee Tech,2010,besr,40,1382,448,0.324,191,40,90,2.25,39,0.98,37,10,47,0.93,24,24,669,0.484,7,0.18,306,7.7,4/25/10
Bowling Green,2010,besr,37,1330,431,0.324,128,37,74,2,29,0.78,45,17,62,1.22,22,40,628,0.472,18,0.49,287,7.8,4/25/10
Toledo,2010,besr,39,1415,458,0.324,121,39,113,2.9,45,1.15,46,16,62,1.18,20,19,730,0.516,12,0.31,311,8,4/25/10
Arkansas St.,2010,besr,40,1437,465,0.324,178,40,83,2.08,19,0.48,42,8,50,1.05,20,37,615,0.428,5,0.13,272,6.8,4/25/10
LSU,2010,besr,41,1465,473,0.323,214,41,84,2.05,52,1.27,64,22,86,1.56,29,12,759,0.518,23,0.56,353,8.6,4/25/10
Virginia Tech,2010,besr,42,1518,489,0.322,147,42,105,2.5,52,1.24,44,19,63,1.05,10,22,774,0.51,12,0.29,329,7.8,4/25/10
Louisville,2010,besr,39,1370,440,0.321,164,39,96,2.46,58,1.49,52,22,74,1.33,12,20,722,0.527,6,0.15,275,7.1,4/25/10
Michigan,2010,besr,39,1395,448,0.321,158,39,89,2.28,28,0.72,61,20,81,1.56,21,14,655,0.47,17,0.44,314,8.1,4/25/10
Northwestern St.,2010,besr,40,1397,447,0.32,161,40,77,1.93,34,0.85,75,17,92,1.88,17,21,650,0.465,12,0.3,302,7.6,4/25/10
Stetson,2010,besr,42,1489,476,0.32,152,42,98,2.33,35,0.83,66,15,81,1.57,14,21,703,0.472,12,0.29,285,6.8,4/25/10
BYU,2010,besr,38,1371,438,0.319,126,38,78,2.05,42,1.11,41,19,60,1.08,11,20,680,0.496,19,0.5,268,7.1,4/25/10
Murray St.,2010,besr,39,1378,440,0.319,169,39,95,2.44,42,1.08,31,6,37,0.79,21,17,687,0.499,13,0.33,319,8.2,4/25/10
Coastal Caro.,2010,besr,41,1413,451,0.319,197,41,87,2.12,64,1.56,108,24,132,2.63,15,47,744,0.527,7,0.17,379,9.2,4/25/10
North Florida,2010,besr,40,1457,465,0.319,157,40,99,2.48,48,1.2,24,15,39,0.6,17,13,718,0.493,5,0.13,311,7.8,4/25/10
Indiana St.,2010,besr,37,1316,420,0.319,127,37,75,2.03,16,0.43,73,13,86,1.97,29,25,577,0.438,17,0.46,276,7.5,4/25/10
Purdue,2010,besr,39,1399,446,0.319,141,39,85,2.18,42,1.08,67,27,94,1.72,28,13,687,0.491,15,0.38,293,7.5,4/25/10
Vanderbilt,2010,besr,43,1460,465,0.318,191,43,96,2.23,33,0.77,61,20,81,1.42,23,33,668,0.458,4,0.09,314,7.3,4/25/10
Northern Colo.,2010,besr,37,1347,429,0.318,129,37,78,2.11,40,1.08,25,9,34,0.68,15,11,651,0.483,12,0.32,264,7.1,4/25/10
Binghamton,2010,besr,33,1153,367,0.318,112,33,63,1.91,24,0.73,52,12,64,1.58,15,16,520,0.451,9,0.27,230,7,4/25/10
Western Ky.,2010,besr,44,1589,505,0.318,201,44,94,2.14,49,1.11,50,17,67,1.14,21,23,788,0.496,21,0.48,386,8.8,4/25/10
Southern Miss.,2010,besr,38,1338,424,0.317,173,38,79,2.08,46,1.21,36,14,50,0.95,20,23,657,0.491,8,0.21,313,8.2,4/25/10
Memphis,2010,besr,40,1440,456,0.317,153,40,77,1.93,37,0.93,62,21,83,1.55,15,19,666,0.463,11,0.28,294,7.4,4/25/10
Eastern Ky.,2010,besr,40,1407,444,0.316,160,40,99,2.48,57,1.43,56,29,85,1.4,15,11,736,0.523,11,0.28,321,8,4/25/10
Indiana,2010,besr,38,1388,438,0.316,121,38,85,2.24,54,1.42,44,23,67,1.16,12,16,705,0.508,10,0.26,286,7.5,4/25/10
Texas Tech,2010,besr,44,1541,486,0.315,205,44,129,2.93,45,1.02,61,20,81,1.39,11,18,778,0.505,14,0.32,339,7.7,4/25/10
James Madison,2010,besr,39,1358,428,0.315,198,39,97,2.49,57,1.46,72,23,95,1.85,33,14,722,0.532,13,0.33,329,8.4,4/25/10
Troy,2010,besr,40,1432,451,0.315,177,40,77,1.93,61,1.53,27,12,39,0.68,21,18,735,0.513,12,0.3,334,8.4,4/25/10
Nevada,2010,besr,38,1315,414,0.315,164,38,107,2.82,43,1.13,52,16,68,1.37,14,20,684,0.52,17,0.45,300,7.9,4/25/10
Butler,2010,besr,37,1300,409,0.315,179,37,86,2.32,22,0.59,29,20,49,0.78,12,14,581,0.447,10,0.27,270,7.3,4/25/10
Col. of Charleston,2010,besr,42,1515,476,0.314,197,42,111,2.64,65,1.55,65,15,80,1.55,24,6,800,0.528,9,0.21,379,9,4/25/10
Samford,2010,besr,39,1382,434,0.314,163,39,80,2.05,51,1.31,47,12,59,1.21,15,17,683,0.494,8,0.21,299,7.7,4/25/10
Buffalo,2010,besr,38,1363,428,0.314,174,38,101,2.66,34,0.89,66,9,75,1.74,18,8,645,0.473,7,0.18,292,7.7,4/25/10
Santa Clara,2010,besr,33,1185,372,0.314,120,33,83,2.52,19,0.58,33,8,41,1,17,17,530,0.447,9,0.27,222,6.7,4/25/10
Manhattan,2010,besr,33,1115,350,0.314,144,33,68,2.06,37,1.12,34,17,51,1.03,19,15,545,0.489,8,0.24,261,7.9,4/25/10
Western Caro.,2010,besr,39,1402,440,0.314,146,39,75,1.92,55,1.41,77,20,97,1.97,12,12,690,0.492,5,0.13,292,7.5,4/25/10
Valparaiso,2010,besr,38,1348,423,0.314,134,38,85,2.24,19,0.5,36,6,42,0.95,15,18,599,0.444,17,0.45,289,7.6,4/25/10
Appalachian St.,2010,besr,38,1342,421,0.314,153,38,87,2.29,41,1.08,77,16,93,2.03,17,14,641,0.478,5,0.13,303,8,4/25/10
Connecticut,2010,besr,40,1457,457,0.314,191,40,88,2.2,49,1.23,117,23,140,2.93,16,17,730,0.501,19,0.48,350,8.8,4/25/10
Tulane,2010,besr,41,1384,434,0.314,166,41,72,1.76,38,0.93,20,10,30,0.49,17,24,638,0.461,9,0.22,261,6.4,4/25/10
Oklahoma St.,2010,besr,39,1360,426,0.313,160,39,102,2.62,37,0.95,68,14,82,1.74,25,14,659,0.485,10,0.26,301,7.7,4/25/10
Maine,2010,besr,39,1357,425,0.313,153,39,84,2.15,30,0.77,70,10,80,1.79,16,28,639,0.471,20,0.51,299,7.7,4/25/10
UCLA,2010,besr,36,1279,400,0.313,149,36,82,2.28,31,0.86,49,16,65,1.36,16,24,591,0.462,8,0.22,256,7.1,4/25/10
Baylor,2010,besr,40,1366,427,0.313,180,40,90,2.25,39,0.98,48,12,60,1.2,17,27,670,0.49,18,0.45,292,7.3,4/25/10
Fla. Atlantic,2010,besr,40,1389,434,0.312,174,40,89,2.23,46,1.15,34,15,49,0.85,21,23,677,0.487,8,0.2,274,6.9,4/25/10
Rice,2010,besr,42,1467,458,0.312,196,42,75,1.79,49,1.17,40,13,53,0.95,25,23,708,0.483,14,0.33,329,7.8,4/25/10
Longwood,2010,besr,35,1172,365,0.311,125,35,82,2.34,32,0.91,40,15,55,1.14,15,22,563,0.48,10,0.29,234,6.7,4/25/10
Bucknell,2010,besr,47,1596,497,0.311,147,47,97,2.06,54,1.15,34,9,43,0.72,26,29,776,0.486,10,0.21,316,6.7,4/25/10
McNeese St.,2010,besr,39,1410,439,0.311,155,39,78,2,48,1.23,69,16,85,1.77,14,15,689,0.489,14,0.36,304,7.8,4/25/10
Cal St. Northridge,2010,besr,38,1353,421,0.311,142,38,87,2.29,36,0.95,65,20,85,1.71,17,19,628,0.464,6,0.16,270,7.1,4/25/10
N.C. A&T,2010,besr,41,1398,435,0.311,153,41,75,1.83,47,1.15,88,32,120,2.15,18,11,675,0.483,12,0.29,331,8.1,4/25/10
VCU,2010,besr,40,1411,439,0.311,113,40,73,1.83,23,0.58,64,25,89,1.6,16,16,609,0.432,14,0.35,285,7.1,4/25/10
North Carolina,2010,besr,42,1460,454,0.311,216,42,97,2.31,25,0.6,64,15,79,1.52,31,24,656,0.449,15,0.36,321,7.6,4/25/10
Marist,2010,besr,39,1307,406,0.311,186,39,81,2.08,16,0.41,64,15,79,1.64,26,31,557,0.426,11,0.28,301,7.7,4/25/10
George Washington,2010,besr,40,1367,424,0.31,169,40,82,2.05,46,1.15,54,27,81,1.35,21,38,652,0.477,4,0.1,306,7.7,4/25/10
Rider,2010,besr,37,1293,401,0.31,165,37,63,1.7,23,0.62,42,17,59,1.14,17,9,555,0.429,11,0.3,268,7.2,4/25/10
Jacksonville St.,2010,besr,38,1323,410,0.31,178,38,78,2.05,42,1.11,59,8,67,1.55,14,13,644,0.487,15,0.39,299,7.9,4/25/10
Yale,2010,besr,37,1176,364,0.31,140,37,94,2.54,33,0.89,42,20,62,1.14,17,9,573,0.487,8,0.22,253,6.8,4/25/10
Fresno St.,2010,besr,42,1451,449,0.309,145,42,93,2.21,51,1.21,33,14,47,0.79,16,23,719,0.496,12,0.29,283,6.7,4/25/10
Youngstown St.,2010,besr,38,1330,411,0.309,156,38,76,2,41,1.08,44,18,62,1.16,20,21,624,0.469,7,0.18,302,7.9,4/25/10
Texas St.,2010,besr,38,1331,411,0.309,146,38,74,1.95,29,0.76,49,19,68,1.29,17,22,596,0.448,12,0.32,263,6.9,4/25/10
Akron,2010,besr,38,1404,433,0.308,125,38,76,2,28,0.74,17,6,23,0.45,18,19,605,0.431,6,0.16,259,6.8,4/25/10
Southern Utah,2010,besr,39,1369,422,0.308,120,39,80,2.05,31,0.79,20,24,44,0.51,8,14,609,0.445,7,0.18,235,6,4/25/10
UC Irvine,2010,besr,37,1301,401,0.308,134,37,87,2.35,24,0.65,24,15,39,0.65,16,35,576,0.443,8,0.22,255,6.9,4/25/10
Southern Ill.,2010,besr,40,1461,449,0.307,155,40,73,1.83,37,0.93,25,6,31,0.63,19,20,647,0.443,7,0.18,283,7.1,4/25/10
Villanova,2010,besr,37,1291,396,0.307,160,37,72,1.95,9,0.24,81,16,97,2.19,21,33,533,0.413,19,0.51,250,6.8,4/25/10
Gardner-Webb,2010,besr,39,1441,442,0.307,128,39,98,2.51,29,0.74,66,22,88,1.69,13,22,645,0.448,9,0.23,268,6.9,4/25/10
Utah,2010,besr,37,1282,393,0.307,122,37,52,1.41,40,1.08,43,21,64,1.16,16,32,587,0.458,11,0.3,231,6.2,4/25/10
Air Force,2010,besr,39,1414,433,0.306,162,39,86,2.21,35,0.9,50,16,66,1.28,13,31,672,0.475,24,0.62,289,7.4,4/25/10
Navy,2010,besr,44,1431,438,0.306,154,44,71,1.61,17,0.39,61,17,78,1.39,21,23,588,0.411,14,0.32,270,6.1,4/25/10
Long Beach St.,2010,besr,36,1245,381,0.306,96,36,84,2.33,17,0.47,42,30,72,1.17,12,41,534,0.429,9,0.25,221,6.1,4/25/10
Rhode Island,2010,besr,38,1366,418,0.306,139,38,78,2.05,27,0.71,72,30,102,1.89,16,23,605,0.443,14,0.37,261,6.9,4/25/10
Sacred Heart,2010,besr,38,1256,384,0.306,99,38,79,2.08,24,0.63,52,8,60,1.37,19,12,563,0.448,14,0.37,229,6,4/25/10
UT Martin,2010,besr,39,1336,408,0.305,141,39,76,1.95,52,1.33,69,18,87,1.77,19,16,652,0.488,6,0.15,266,6.8,4/25/10
Jackson St.,2010,besr,35,1117,341,0.305,153,35,58,1.66,15,0.43,144,15,159,4.11,14,36,464,0.415,10,0.29,291,8.3,4/25/10
UNLV,2010,besr,39,1397,426,0.305,135,39,76,1.95,30,0.77,20,8,28,0.51,14,30,622,0.445,15,0.38,294,7.5,4/25/10
Jacksonville,2010,besr,35,1234,376,0.305,174,35,76,2.17,40,1.14,49,15,64,1.4,17,20,586,0.475,7,0.2,273,7.8,4/25/10
Hofstra,2010,besr,35,1195,364,0.305,127,35,71,2.03,26,0.74,52,29,81,1.49,14,19,519,0.434,3,0.09,224,6.4,4/25/10
Alabama,2010,besr,40,1376,419,0.305,181,40,73,1.83,31,0.78,44,17,61,1.1,14,33,601,0.437,8,0.2,289,7.2,4/25/10
Kent St.,2010,besr,42,1538,468,0.304,180,42,119,2.83,41,0.98,26,13,39,0.62,18,17,736,0.479,13,0.31,316,7.5,4/25/10
Stony Brook,2010,besr,35,1247,379,0.304,104,35,56,1.6,25,0.71,29,15,44,0.83,9,16,532,0.427,11,0.31,218,6.2,4/25/10
Belmont,2010,besr,42,1468,446,0.304,178,42,96,2.29,44,1.05,51,15,66,1.21,27,20,692,0.471,9,0.21,302,7.2,4/25/10
Army,2010,besr,36,1129,343,0.304,122,36,51,1.42,23,0.64,42,12,54,1.17,21,32,485,0.43,11,0.31,219,6.1,4/25/10
Florida St.,2010,besr,41,1397,424,0.304,251,41,90,2.2,46,1.12,59,12,71,1.44,23,22,686,0.491,17,0.41,350,8.5,4/25/10
St. Bonaventure,2010,besr,33,1150,349,0.303,131,33,69,2.09,27,0.82,37,12,49,1.12,14,9,521,0.453,11,0.33,225,6.8,4/25/10
Saint Louis,2010,besr,41,1444,438,0.303,198,41,81,1.98,50,1.22,53,18,71,1.29,21,8,689,0.477,10,0.24,306,7.5,4/25/10
Columbia,2010,besr,38,1227,372,0.303,154,38,77,2.03,36,0.95,53,13,66,1.39,19,23,577,0.47,10,0.26,244,6.4,4/25/10
Oral Roberts,2010,besr,39,1322,400,0.303,172,39,64,1.64,50,1.28,37,11,48,0.95,13,32,626,0.474,6,0.15,277,7.1,4/25/10
A&M-Corpus Christi,2010,besr,40,1399,423,0.302,151,40,66,1.65,30,0.75,36,19,55,0.9,13,15,609,0.435,15,0.38,273,6.8,4/25/10
West Virginia,2010,besr,40,1397,422,0.302,131,40,85,2.13,34,0.85,27,7,34,0.68,17,58,623,0.446,7,0.18,260,6.5,4/25/10
Austin Peay,2010,besr,39,1339,404,0.302,171,39,80,2.05,29,0.74,93,26,119,2.38,18,22,597,0.446,13,0.33,301,7.7,4/25/10
Rutgers,2010,besr,37,1336,403,0.302,133,37,84,2.27,55,1.49,52,16,68,1.41,13,24,674,0.504,11,0.3,283,7.6,4/25/10
Oklahoma,2010,besr,40,1376,415,0.302,162,40,78,1.95,53,1.33,51,23,74,1.28,16,41,672,0.488,10,0.25,299,7.5,4/25/10
Wofford,2010,besr,39,1410,425,0.301,173,39,98,2.51,39,1,54,12,66,1.38,17,15,670,0.475,15,0.38,284,7.3,4/25/10
La.-Lafayette,2010,besr,40,1365,411,0.301,137,40,75,1.88,27,0.68,73,17,90,1.83,28,37,601,0.44,17,0.43,277,6.9,4/25/10
Portland,2010,besr,32,1116,336,0.301,94,32,54,1.69,23,0.72,27,14,41,0.84,10,25,489,0.438,15,0.47,206,6.4,4/25/10
Clemson,2010,besr,41,1430,430,0.301,247,41,85,2.07,55,1.34,67,20,87,1.63,29,10,694,0.485,7,0.17,352,8.6,4/25/10
Dartmouth,2010,besr,29,958,288,0.301,123,29,56,1.93,17,0.59,19,15,34,0.66,14,13,421,0.439,13,0.45,172,5.9,4/25/10
