name,year,bat,g,ab,h,ba,bb,dbl,dbl.pg,pg,hr,hr.pg,sb,cs,sba,sb.pg,sf,sh,tb,slg.pct,trp,trp.pg,r,r.pg,through
Jacksonville,2010,besr,25,872,267,0.306,137,25,51,2.04,28,1.12,30,11,41,1.2,9,14,414,0.475,6,0.24,191,7.6,3/28/10
Houston,2010,besr,22,781,239,0.306,84,22,29,1.32,15,0.68,29,9,38,1.32,8,12,337,0.431,12,0.55,143,6.5,3/28/10
Nebraska,2010,besr,23,798,244,0.306,92,23,43,1.87,24,1.04,25,9,34,1.09,13,7,363,0.455,2,0.09,164,7.1,3/28/10
Memphis,2010,besr,24,874,267,0.305,84,24,43,1.79,14,0.58,39,16,55,1.63,6,6,368,0.421,8,0.33,159,6.6,3/28/10
North Florida,2010,besr,26,933,285,0.305,97,26,59,2.27,30,1.15,18,10,28,0.69,14,8,442,0.474,4,0.15,194,7.5,3/28/10
Stanford,2010,besr,18,632,193,0.305,79,18,44,2.44,12,0.67,16,4,20,0.89,10,6,285,0.451,6,0.33,125,6.9,3/28/10
Ole Miss,2010,besr,25,881,269,0.305,128,25,55,2.2,23,0.92,40,4,44,1.6,10,3,403,0.457,5,0.2,206,8.2,3/28/10
Citadel,2010,besr,24,806,246,0.305,83,24,44,1.83,22,0.92,33,12,45,1.38,7,20,378,0.469,11,0.46,169,7,3/28/10
Eastern Ky.,2010,besr,22,767,234,0.305,98,22,46,2.09,26,1.18,31,22,53,1.41,10,6,374,0.488,8,0.36,149,6.8,3/28/10
Samford,2010,besr,24,833,254,0.305,92,24,49,2.04,30,1.25,36,7,43,1.5,9,10,401,0.481,4,0.17,177,7.4,3/28/10
Sam Houston St.,2010,besr,24,873,266,0.305,100,24,43,1.79,19,0.79,29,11,40,1.21,10,14,374,0.428,4,0.17,154,6.4,3/28/10
Illinois St.,2010,besr,21,723,220,0.304,109,21,52,2.48,15,0.71,45,12,57,2.14,9,10,335,0.463,9,0.43,166,7.9,3/28/10
Siena,2010,besr,22,842,256,0.304,73,22,43,1.95,23,1.05,29,5,34,1.32,6,9,376,0.447,4,0.18,155,7,3/28/10
Liberty,2010,besr,22,762,231,0.303,92,22,54,2.45,18,0.82,17,9,26,0.77,17,17,345,0.453,3,0.14,165,7.5,3/28/10
UNC Wilmington,2010,besr,23,803,243,0.303,104,23,46,2,22,0.96,40,7,47,1.74,9,20,367,0.457,6,0.26,168,7.3,3/28/10
