,name,g,ab,h,ba,bb,2b,2b.pg,pg,hr,hr.pg,sb,cs,sba,sb.pg,sf,sh,tb,slg.pct,3b,3b.pg,r,r.pg,through
1405,Long Beach St.,34,1112,289,0.26,87,34,43,1.26,4,0.12,30,18,48,0.88,10,49,360,0.324,8,0.24,126,3.7,4/17/11
1406,Central Mich.,36,1269,329,0.259,135,36,80,2.22,15,0.42,39,6,45,1.08,14,24,476,0.375,11,0.31,194,5.4,4/17/11
1407,Texas,36,1163,301,0.259,170,36,67,1.86,6,0.17,44,10,54,1.22,7,58,416,0.358,15,0.42,189,5.3,4/17/11
1408,Alcorn,35,1189,307,0.258,146,35,60,1.71,17,0.49,78,23,101,2.23,16,16,430,0.362,6,0.17,197,5.6,4/17/11
1409,San Francisco,36,1217,314,0.258,109,36,65,1.81,16,0.44,28,15,43,0.78,13,20,445,0.366,9,0.25,149,4.1,4/17/11
1410,Tulane,36,1168,301,0.258,138,36,50,1.39,16,0.44,31,16,47,0.86,10,23,413,0.354,7,0.19,168,4.7,4/17/11
1411,Northwestern,32,1071,276,0.258,102,32,61,1.91,7,0.22,14,10,24,0.44,12,30,378,0.353,10,0.31,145,4.5,4/17/11
1412,Missouri,36,1179,303,0.257,154,36,43,1.19,9,0.25,71,28,99,1.97,11,26,385,0.327,6,0.17,156,4.3,4/17/11
1413,Army,31,978,251,0.257,92,31,44,1.42,17,0.55,38,8,46,1.23,6,24,356,0.364,5,0.16,156,5,4/17/11
1414,UMBC,27,889,228,0.256,64,27,49,1.81,3,0.11,13,8,21,0.48,6,14,296,0.333,5,0.19,104,3.9,4/17/11
1415,Pepperdine,34,1148,294,0.256,93,34,53,1.56,12,0.35,35,14,49,1.03,11,50,391,0.341,4,0.12,144,4.2,4/17/11
1416,Nevada,31,1004,257,0.256,107,31,50,1.61,18,0.58,19,16,35,0.61,7,27,381,0.379,10,0.32,125,4,4/17/11
1417,Louisville,35,1141,292,0.256,131,35,55,1.57,16,0.46,38,19,57,1.09,13,21,417,0.365,11,0.31,158,4.5,4/17/11
1418,Portland,32,1096,280,0.255,100,32,58,1.81,18,0.56,18,12,30,0.56,7,22,400,0.365,4,0.13,136,4.3,4/17/11
1419,Cal St. Northridge,36,1150,293,0.255,118,36,61,1.69,15,0.42,35,11,46,0.97,15,25,415,0.361,8,0.22,173,4.8,4/17/11
1420,Towson,35,1137,289,0.254,138,35,66,1.89,12,0.34,38,17,55,1.09,16,29,403,0.354,6,0.17,165,4.7,4/17/11
1421,Elon,37,1226,311,0.254,187,37,49,1.32,21,0.57,68,30,98,1.84,12,31,453,0.369,15,0.41,221,6,4/17/11
1422,Nicholls St.,36,1203,305,0.254,108,36,40,1.11,6,0.17,44,17,61,1.22,12,23,379,0.315,8,0.22,183,5.1,4/17/11
1423,Minnesota,26,852,216,0.254,85,26,45,1.73,4,0.15,22,11,33,0.85,11,14,287,0.337,7,0.27,99,3.8,4/17/11
1424,Western Mich.,36,1189,301,0.253,103,36,54,1.5,6,0.17,29,21,50,0.81,10,49,381,0.32,4,0.11,164,4.6,4/17/11
1425,UC Davis,29,956,242,0.253,83,29,35,1.21,9,0.31,21,18,39,0.72,9,26,314,0.328,5,0.17,109,3.8,4/17/11
1426,Alabama A&M,34,997,252,0.253,61,34,33,0.97,4,0.12,42,22,64,1.24,5,12,321,0.322,12,0.35,102,3,4/17/11
1427,NYIT,24,740,187,0.253,74,24,29,1.21,9,0.38,28,12,40,1.17,3,12,243,0.328,NA,NA,88,3.7,4/17/11
1428,Le Moyne,34,1122,283,0.252,108,34,41,1.21,15,0.44,41,18,59,1.21,8,26,379,0.338,5,0.15,168,4.9,4/17/11
1429,Ohio,36,1218,307,0.252,118,36,59,1.64,24,0.67,32,13,45,0.89,13,22,464,0.381,13,0.36,180,5,4/17/11
1430,Rutgers,33,1164,293,0.252,109,33,54,1.64,10,0.3,20,11,31,0.61,13,23,393,0.338,8,0.24,165,5,4/17/11
1431,Davidson,35,1141,287,0.252,163,35,67,1.91,12,0.34,40,15,55,1.14,12,31,400,0.351,5,0.14,167,4.8,4/17/11
1432,Kansas,36,1177,296,0.251,112,36,57,1.58,16,0.44,31,20,51,0.86,10,25,415,0.353,7,0.19,139,3.9,4/17/11
1433,Niagara,33,1065,267,0.251,81,33,58,1.76,10,0.3,30,18,48,0.91,8,8,363,0.341,4,0.12,119,3.6,4/17/11
1434,Seton Hall,33,1121,281,0.251,92,33,40,1.21,9,0.27,33,15,48,1,11,40,356,0.318,4,0.12,143,4.3,4/17/11
1435,Maryland,37,1182,296,0.25,145,37,55,1.49,11,0.3,72,17,89,1.95,13,28,392,0.332,4,0.11,170,4.6,4/17/11
1436,Cornell,30,967,242,0.25,82,30,42,1.4,17,0.57,20,10,30,0.67,6,20,353,0.365,9,0.3,130,4.3,4/17/11
1437,Valparaiso,36,1189,296,0.249,119,36,53,1.47,10,0.28,47,11,58,1.31,15,24,401,0.337,11,0.31,170,4.7,4/17/11
1438,UNC Greensboro,34,1147,285,0.248,167,34,50,1.47,18,0.53,28,8,36,0.82,13,46,409,0.357,10,0.29,189,5.6,4/17/11
1439,Siena,35,1097,272,0.248,111,35,43,1.23,20,0.57,32,12,44,0.91,14,28,381,0.347,3,0.09,161,4.6,4/17/11
1440,Old Dominion,37,1231,305,0.248,149,37,67,1.81,31,0.84,27,12,39,0.73,3,29,479,0.389,7,0.19,193,5.2,4/17/11
1441,Michigan,34,1145,283,0.247,114,34,50,1.47,8,0.24,49,16,65,1.44,7,22,365,0.319,4,0.12,136,4,4/17/11
1442,Saint Joseph's,35,1179,288,0.244,154,35,45,1.29,5,0.14,35,13,48,1,10,18,356,0.302,4,0.11,156,4.5,4/17/11
1443,Ball St.,33,1111,270,0.243,113,33,48,1.45,15,0.45,39,21,60,1.18,10,24,375,0.338,6,0.18,150,4.5,4/17/11
1444,San Diego St.,36,1191,289,0.243,163,36,59,1.64,12,0.33,33,10,43,0.92,10,26,402,0.338,9,0.25,162,4.5,4/17/11
1445,Youngstown St.,33,1094,265,0.242,111,33,34,1.03,2,0.06,32,15,47,0.97,8,33,313,0.286,4,0.12,97,2.9,4/17/11
1446,Fairfield,29,961,232,0.241,87,29,52,1.79,4,0.14,44,12,56,1.52,7,12,308,0.32,6,0.21,122,4.2,4/17/11
1447,Centenary (LA),24,731,176,0.241,41,24,29,1.21,8,0.33,35,19,54,1.46,8,16,233,0.319,2,0.08,71,3,4/17/11
1448,Oregon,34,1131,271,0.24,131,34,54,1.59,9,0.26,43,18,61,1.26,17,46,362,0.32,5,0.15,144,4.2,4/17/11
1449,Harvard,33,1041,249,0.239,86,33,46,1.39,9,0.27,43,19,62,1.3,8,17,326,0.313,2,0.06,117,3.5,4/17/11
1450,Notre Dame,33,1072,256,0.239,110,33,54,1.64,9,0.27,36,22,58,1.09,6,50,345,0.322,4,0.12,130,3.9,4/17/11
1451,NJIT,29,975,231,0.237,98,29,46,1.59,10,0.34,12,9,21,0.41,11,21,319,0.327,6,0.21,125,4.3,4/17/11
1452,Washington,33,1094,258,0.236,94,33,49,1.48,4,0.12,11,13,24,0.33,4,45,327,0.299,4,0.12,129,3.9,4/17/11
1453,Brown,29,894,207,0.232,68,29,35,1.21,9,0.31,25,8,33,0.86,5,18,271,0.303,1,0.03,104,3.6,4/17/11
1454,Sacramento St.,37,1208,274,0.227,103,37,60,1.62,13,0.35,21,12,33,0.57,13,6,379,0.314,3,0.08,128,3.5,4/17/11
1455,Hartford,29,891,202,0.227,91,29,37,1.28,10,0.34,17,17,34,0.59,6,22,285,0.32,8,0.28,95,3.3,4/17/11
1456,Akron,34,1104,248,0.225,86,34,44,1.29,10,0.29,18,10,28,0.53,8,23,336,0.304,7,0.21,93,2.7,4/17/11
1457,Wake Forest,37,1208,265,0.219,185,37,55,1.49,35,0.95,56,17,73,1.51,17,11,431,0.357,3,0.08,174,4.7,4/17/11
1458,Cleveland St.,32,1045,228,0.218,116,32,44,1.38,8,0.25,55,14,69,1.72,13,24,302,0.289,3,0.09,117,3.7,4/17/11
1459,Coppin St.,32,942,202,0.214,122,32,37,1.16,6,0.19,45,23,68,1.41,6,6,269,0.286,6,0.19,112,3.5,4/17/11
1460,New Orleans,35,1119,238,0.213,93,35,42,1.2,8,0.23,10,16,26,0.29,8,14,312,0.279,4,0.11,93,2.7,4/17/11
1461,Temple,37,1426,492,0.345,106,37,104,2.81,33,0.89,36,8,44,0.97,25,23,709,0.497,7,0.19,324,8.8,4/24/11
1462,New Mexico St.,40,1336,453,0.339,242,40,87,2.18,28,0.7,25,12,37,0.63,34,14,642,0.481,9,0.23,369,9.2,4/24/11
1463,Oklahoma,40,1381,463,0.335,157,40,80,2,32,0.8,47,22,69,1.18,14,39,669,0.484,15,0.38,310,7.8,4/24/11
1464,James Madison,41,1488,491,0.33,213,41,98,2.39,65,1.59,121,30,151,2.95,32,26,830,0.558,23,0.56,404,9.9,4/24/11
1465,Jacksonville,39,1403,453,0.323,178,39,75,1.92,36,0.92,57,10,67,1.46,20,20,654,0.466,9,0.23,316,8.1,4/24/11
1466,Arizona,39,1357,438,0.323,105,39,80,2.05,20,0.51,48,21,69,1.23,24,27,606,0.447,14,0.36,265,6.8,4/24/11
1467,Wright St.,36,1273,410,0.322,155,36,78,2.17,21,0.58,39,17,56,1.08,13,45,571,0.449,10,0.28,251,7,4/24/11
1468,Gardner-Webb,38,1369,439,0.321,172,38,90,2.37,21,0.55,53,17,70,1.39,19,14,606,0.443,7,0.18,304,8,4/24/11
1469,Stony Brook,35,1220,388,0.318,108,35,92,2.63,15,0.43,44,9,53,1.26,22,19,547,0.448,11,0.31,249,7.1,4/24/11
1470,Georgia Tech,41,1457,462,0.317,177,41,96,2.34,29,0.71,46,13,59,1.12,16,19,671,0.461,13,0.32,288,7,4/24/11
1471,Jacksonville St.,39,1355,429,0.317,158,39,74,1.9,29,0.74,40,15,55,1.03,19,20,610,0.45,10,0.26,257,6.6,4/24/11
1472,Dartmouth,31,1094,346,0.316,104,31,72,2.32,17,0.55,25,8,33,0.81,12,8,513,0.469,22,0.71,229,7.4,4/24/11
1473,Memphis,42,1399,442,0.316,184,42,93,2.21,27,0.64,45,18,63,1.07,28,33,640,0.457,12,0.29,286,6.8,4/24/11
1474,Florida,41,1394,439,0.315,146,41,80,1.95,32,0.78,31,18,49,0.76,14,37,631,0.453,8,0.2,262,6.4,4/24/11
1475,UNC Wilmington,40,1432,450,0.314,122,40,91,2.28,31,0.78,73,15,88,1.83,22,24,654,0.457,10,0.25,281,7,4/24/11
1476,Purdue,40,1426,448,0.314,172,40,92,2.3,20,0.5,62,22,84,1.55,27,34,630,0.442,15,0.38,307,7.7,4/24/11
1477,Murray St.,37,1208,379,0.314,126,37,70,1.89,13,0.35,16,13,29,0.43,9,27,504,0.417,8,0.22,213,5.8,4/24/11
1478,Southeast Mo. St.,39,1377,432,0.314,147,39,87,2.23,37,0.95,42,13,55,1.08,22,22,640,0.465,5,0.13,269,6.9,4/24/11
1479,Clemson,39,1323,415,0.314,199,39,82,2.1,24,0.62,72,18,90,1.85,29,22,595,0.45,13,0.33,282,7.2,4/24/11
1480,Southern Miss.,39,1382,433,0.313,176,39,74,1.9,34,0.87,19,10,29,0.49,20,41,635,0.459,13,0.33,312,8,4/24/11
1481,Vanderbilt,40,1335,418,0.313,163,40,73,1.83,19,0.48,50,24,74,1.25,12,43,566,0.424,9,0.23,264,6.6,4/24/11
1482,Arizona St.,37,1290,403,0.312,139,37,85,2.3,21,0.57,66,33,99,1.78,21,15,575,0.446,12,0.32,233,6.3,4/24/11
1483,South Dakota St.,34,1242,388,0.312,132,34,71,2.09,19,0.56,25,11,36,0.74,18,15,542,0.436,13,0.38,239,7,4/24/11
1484,Mercer,43,1534,479,0.312,196,43,89,2.07,65,1.51,63,15,78,1.47,17,31,781,0.509,9,0.21,356,8.3,4/24/11
1485,Virginia,44,1516,473,0.312,165,44,102,2.32,14,0.32,57,23,80,1.3,21,39,639,0.422,11,0.25,333,7.6,4/24/11
1486,Western Ky.,41,1482,462,0.312,196,41,83,2.02,32,0.78,44,15,59,1.07,18,17,669,0.451,14,0.34,291,7.1,4/24/11
1487,Pittsburgh,38,1293,403,0.312,158,38,67,1.76,21,0.55,50,27,77,1.32,15,32,575,0.445,21,0.55,261,6.9,4/24/11
1488,Michigan St.,36,1229,383,0.312,115,36,76,2.11,16,0.44,59,25,84,1.64,19,39,523,0.426,8,0.22,206,5.7,4/24/11
1489,UCF,41,1427,442,0.31,158,41,101,2.46,35,0.85,51,15,66,1.24,23,19,664,0.465,8,0.2,278,6.8,4/24/11
1490,Missouri St.,38,1358,420,0.309,161,38,69,1.82,20,0.53,42,15,57,1.11,20,15,567,0.418,9,0.24,237,6.2,4/24/11
1491,Southern U.,38,1277,394,0.309,163,38,65,1.71,27,0.71,42,13,55,1.11,43,14,574,0.449,17,0.45,288,7.6,4/24/11
1492,Stephen F. Austin,40,1434,439,0.306,156,40,84,2.1,27,0.68,70,24,94,1.75,16,18,624,0.435,10,0.25,280,7,4/24/11
1493,Dallas Baptist,38,1297,397,0.306,202,38,88,2.32,42,1.11,43,8,51,1.13,30,20,639,0.493,14,0.37,319,8.4,4/24/11
1494,Georgia St.,42,1413,432,0.306,241,42,98,2.33,32,0.76,77,20,97,1.83,23,41,644,0.456,9,0.21,313,7.5,4/24/11
1495,South Ala.,40,1410,431,0.306,152,40,91,2.28,23,0.58,40,23,63,1,24,18,607,0.43,8,0.2,253,6.3,4/24/11
1496,Ga. Southern,40,1422,434,0.305,159,40,79,1.98,38,0.95,51,16,67,1.28,13,34,645,0.454,9,0.23,295,7.4,4/24/11
1497,Connecticut,39,1379,420,0.305,146,39,82,2.1,16,0.41,82,29,111,2.1,23,25,572,0.415,11,0.28,254,6.5,4/24/11
1498,TCU,40,1372,417,0.304,131,40,99,2.48,29,0.73,54,23,77,1.35,19,35,635,0.463,16,0.4,245,6.1,4/24/11
1499,FIU,41,1448,440,0.304,176,41,92,2.24,37,0.9,57,21,78,1.39,11,20,655,0.452,6,0.15,272,6.6,4/24/11
1500,North Florida,38,1366,415,0.304,143,38,72,1.89,46,1.21,33,16,49,0.87,17,21,643,0.471,9,0.24,278,7.3,4/24/11
1501,UC Irvine,36,1197,363,0.303,162,36,63,1.75,10,0.28,32,19,51,0.89,22,37,480,0.401,12,0.33,236,6.6,4/24/11
1502,Marist,37,1296,393,0.303,176,37,65,1.76,24,0.65,33,13,46,0.89,10,25,542,0.418,6,0.16,266,7.2,4/24/11
1503,Sacred Heart,39,1303,395,0.303,118,39,60,1.54,8,0.21,48,17,65,1.23,18,45,499,0.383,10,0.26,220,5.6,4/24/11
1504,West Virginia,40,1317,399,0.303,110,40,77,1.93,26,0.65,23,11,34,0.58,18,67,568,0.431,7,0.18,252,6.3,4/24/11
1505,Auburn,39,1361,412,0.303,144,39,86,2.21,27,0.69,27,20,47,0.69,13,33,589,0.433,5,0.13,240,6.2,4/24/11
1506,Stetson,40,1388,419,0.302,168,40,72,1.8,18,0.45,61,14,75,1.53,21,31,569,0.41,12,0.3,262,6.6,4/24/11
1507,Radford,39,1350,407,0.301,127,39,94,2.41,23,0.59,72,26,98,1.85,16,30,594,0.44,12,0.31,255,6.5,4/24/11
1508,Campbell,43,1450,437,0.301,132,43,91,2.12,16,0.37,76,27,103,1.77,25,21,586,0.404,5,0.12,297,6.9,4/24/11
1509,UNLV,42,1445,435,0.301,153,42,71,1.69,29,0.69,55,26,81,1.31,16,10,617,0.427,12,0.29,270,6.4,4/24/11
1510,Evansville,37,1281,385,0.301,117,37,84,2.27,23,0.62,69,30,99,1.86,15,34,560,0.437,11,0.3,232,6.3,4/24/11
1511,Xavier,39,1399,420,0.3,133,39,66,1.69,23,0.59,58,21,79,1.49,15,39,567,0.405,6,0.15,246,6.3,4/24/11
1512,Charlotte,40,1313,394,0.3,203,40,68,1.7,11,0.28,83,21,104,2.08,25,37,529,0.403,17,0.43,284,7.1,4/24/11
1513,Tex.-Pan American,33,1120,336,0.3,124,33,61,1.85,8,0.24,21,22,43,0.64,10,14,443,0.396,11,0.33,188,5.7,4/24/11
1514,CSU Bakersfield,35,1227,368,0.3,115,35,61,1.74,14,0.4,27,10,37,0.77,27,14,491,0.4,10,0.29,225,6.4,4/24/11
1515,Savannah St.,44,1344,403,0.3,212,44,85,1.93,16,0.36,128,32,160,2.91,27,24,560,0.417,12,0.27,321,7.3,4/24/11
1516,UTSA,41,1421,426,0.3,152,41,83,2.02,32,0.78,47,19,66,1.15,23,30,637,0.448,16,0.39,267,6.5,4/24/11
1517,Austin Peay,37,1251,375,0.3,149,37,68,1.84,23,0.62,75,20,95,2.03,25,19,534,0.427,11,0.3,239,6.5,4/24/11
1518,Oklahoma St.,40,1393,417,0.299,119,40,88,2.2,26,0.65,24,11,35,0.6,17,23,623,0.447,20,0.5,239,6,4/24/11
1519,Western Caro.,37,1340,401,0.299,159,37,89,2.41,19,0.51,59,17,76,1.59,14,18,561,0.419,7,0.19,254,6.9,4/24/11
1520,Longwood,40,1318,393,0.298,117,40,77,1.93,28,0.7,39,5,44,0.98,20,32,566,0.429,6,0.15,249,6.2,4/24/11
1521,Sam Houston St.,42,1416,421,0.297,167,42,78,1.86,18,0.43,80,28,108,1.9,17,24,577,0.407,12,0.29,231,5.5,4/24/11
1522,VMI,40,1348,400,0.297,115,40,64,1.6,20,0.5,40,14,54,1,19,48,532,0.395,4,0.1,213,5.3,4/24/11
1523,N.C. A&T,39,1288,382,0.297,122,39,67,1.72,29,0.74,62,13,75,1.59,18,9,566,0.439,15,0.38,247,6.3,4/24/11
1524,Southern Utah,37,1255,372,0.296,148,37,77,2.08,15,0.41,63,18,81,1.7,18,15,514,0.41,10,0.27,228,6.2,4/24/11
1525,Ohio St.,34,1152,341,0.296,110,34,61,1.79,9,0.26,22,14,36,0.65,13,31,451,0.391,11,0.32,201,5.9,4/24/11
1526,Stanford,32,1112,329,0.296,97,32,62,1.94,18,0.56,19,11,30,0.59,11,14,467,0.42,11,0.34,174,5.4,4/24/11
1527,Delaware St.,39,1306,386,0.296,160,39,70,1.79,15,0.38,38,7,45,0.97,10,23,517,0.396,8,0.21,258,6.6,4/24/11
1528,George Mason,42,1489,440,0.296,189,42,86,2.05,36,0.86,28,14,42,0.67,27,26,658,0.442,12,0.29,284,6.8,4/24/11
1529,Florida St.,41,1412,417,0.295,272,41,106,2.59,37,0.9,51,17,68,1.24,20,15,646,0.458,6,0.15,318,7.8,4/24/11
1530,Kentucky,41,1355,400,0.295,143,41,85,2.07,33,0.8,61,20,81,1.49,12,47,596,0.44,6,0.15,229,5.6,4/24/11
1531,Eastern Mich.,39,1352,399,0.295,166,39,85,2.18,17,0.44,49,14,63,1.26,12,42,555,0.411,10,0.26,243,6.2,4/24/11
1532,Texas-Arlington,41,1424,420,0.295,123,41,78,1.9,12,0.29,36,17,53,0.88,23,30,546,0.383,6,0.15,211,5.1,4/24/11
1533,Virginia Tech,42,1479,436,0.295,135,42,104,2.48,52,1.24,39,15,54,0.93,21,28,736,0.498,20,0.48,306,7.3,4/24/11
1534,Jackson St.,40,1330,392,0.295,161,40,65,1.63,21,0.53,78,20,98,1.95,17,27,564,0.424,22,0.55,269,6.7,4/24/11
1535,East Tenn. St.,38,1274,375,0.294,168,38,74,1.95,56,1.47,22,10,32,0.58,12,33,629,0.494,6,0.16,252,6.6,4/24/11
1536,North Carolina,42,1445,425,0.294,223,42,82,1.95,26,0.62,55,15,70,1.31,25,19,627,0.434,21,0.5,315,7.5,4/24/11
1537,Texas St.,39,1337,393,0.294,194,39,51,1.31,40,1.03,67,17,84,1.72,18,35,584,0.437,10,0.26,279,7.2,4/24/11
1538,Tennessee Tech,38,1300,382,0.294,145,38,55,1.45,30,0.79,24,6,30,0.63,10,31,551,0.424,12,0.32,216,5.7,4/24/11
1539,FGCU,41,1477,434,0.294,191,41,98,2.39,24,0.59,14,5,19,0.34,21,41,620,0.42,8,0.2,265,6.5,4/24/11
1540,Norfolk St.,38,1223,359,0.294,146,38,68,1.79,12,0.32,58,19,77,1.53,11,25,481,0.393,9,0.24,220,5.8,4/24/11
1541,Belmont,41,1439,422,0.293,154,41,85,2.07,37,0.9,51,14,65,1.24,18,24,634,0.441,8,0.2,277,6.8,4/24/11
1542,Fla. Atlantic,40,1324,388,0.293,157,40,79,1.98,21,0.53,38,21,59,0.95,19,20,542,0.409,6,0.15,238,6,4/24/11
1543,Col. of Charleston,42,1454,426,0.293,213,42,98,2.33,53,1.26,56,13,69,1.33,28,13,695,0.478,6,0.14,311,7.4,4/24/11
1544,Monmouth,37,1202,352,0.293,136,37,60,1.62,21,0.57,37,10,47,1,15,34,489,0.407,7,0.19,212,5.7,4/24/11
1545,A&M-Corpus Christi,44,1440,421,0.292,173,44,73,1.66,32,0.73,44,24,68,1,19,17,618,0.429,14,0.32,268,6.1,4/24/11
1546,Lehigh,41,1321,386,0.292,134,41,77,1.88,17,0.41,67,19,86,1.63,19,18,524,0.397,5,0.12,246,6,4/24/11
1547,Penn,34,1133,331,0.292,119,34,63,1.85,26,0.76,47,15,62,1.38,14,25,490,0.432,9,0.26,199,5.9,4/24/11
1548,South Carolina,39,1309,382,0.292,172,39,75,1.92,34,0.87,27,12,39,0.69,12,36,581,0.444,11,0.28,250,6.4,4/24/11
1549,California,36,1273,371,0.291,125,36,80,2.22,16,0.44,36,17,53,1,10,40,519,0.408,10,0.28,219,6.1,4/24/11
1550,Manhattan,35,1064,310,0.291,111,35,63,1.8,18,0.51,38,23,61,1.09,18,39,441,0.414,7,0.2,183,5.2,4/24/11
1551,Bethune-Cookman,44,1454,423,0.291,168,44,96,2.18,45,1.02,36,20,56,0.82,17,23,682,0.469,14,0.32,301,6.8,4/24/11
1552,Utah,33,1152,335,0.291,106,33,68,2.06,18,0.55,30,11,41,0.91,11,37,477,0.414,10,0.3,197,6,4/24/11
1553,Holy Cross,40,1338,389,0.291,143,40,82,2.05,26,0.65,46,12,58,1.15,14,34,569,0.425,10,0.25,245,6.1,4/24/11
1554,Butler,34,1156,336,0.291,146,34,54,1.59,14,0.41,29,15,44,0.85,13,23,448,0.388,8,0.24,212,6.2,4/24/11
1555,Tennessee,39,1280,372,0.291,127,39,68,1.74,21,0.54,73,21,94,1.87,11,25,519,0.405,8,0.21,215,5.5,4/24/11
1556,Kent St.,38,1322,384,0.29,147,38,64,1.68,22,0.58,31,15,46,0.82,17,21,540,0.408,13,0.34,220,5.8,4/24/11
1557,High Point,42,1415,411,0.29,132,42,79,1.88,13,0.31,26,15,41,0.62,12,54,533,0.377,2,0.05,238,5.7,4/24/11
1558,Charleston So.,44,1502,436,0.29,145,44,61,1.39,20,0.45,64,19,83,1.45,15,54,569,0.379,6,0.14,239,5.4,4/24/11
1559,Southeastern La.,41,1361,395,0.29,160,41,72,1.76,23,0.56,48,25,73,1.17,15,41,552,0.406,8,0.2,266,6.5,4/24/11
1560,Troy,40,1331,386,0.29,193,40,95,2.38,20,0.5,41,13,54,1.03,23,33,559,0.42,9,0.23,272,6.8,4/24/11
1561,McNeese St.,42,1461,423,0.29,191,42,82,1.95,13,0.31,39,10,49,0.93,15,29,574,0.393,15,0.36,263,6.3,4/24/11
1562,Rhode Island,39,1338,387,0.289,121,39,61,1.56,19,0.49,89,25,114,2.28,21,31,541,0.404,18,0.46,236,6.1,4/24/11
1563,Texas Southern,40,1318,381,0.289,170,40,69,1.73,14,0.35,51,16,67,1.28,25,37,518,0.393,13,0.33,244,6.1,4/24/11
1564,VCU,38,1325,382,0.288,134,38,72,1.89,13,0.34,63,20,83,1.66,17,30,517,0.39,12,0.32,213,5.6,4/24/11
1565,Winthrop,41,1407,405,0.288,156,41,59,1.44,11,0.27,68,18,86,1.66,25,34,509,0.362,6,0.15,227,5.5,4/24/11
1566,Massachusetts,33,1124,323,0.287,124,33,50,1.52,18,0.55,29,16,45,0.88,19,41,439,0.391,6,0.18,202,6.1,4/24/11
1567,Dayton,41,1414,406,0.287,164,41,86,2.1,16,0.39,71,31,102,1.73,20,22,554,0.392,7,0.17,240,5.9,4/24/11
1568,Richmond,39,1362,391,0.287,131,39,74,1.9,21,0.54,54,16,70,1.38,14,42,538,0.395,5,0.13,217,5.6,4/24/11
1569,Liberty,40,1374,394,0.287,107,40,75,1.88,26,0.65,78,20,98,1.95,17,26,565,0.411,9,0.23,231,5.8,4/24/11
1570,Morehead St.,37,1278,366,0.286,113,37,75,2.03,34,0.92,27,24,51,0.73,11,21,555,0.434,6,0.16,208,5.6,4/24/11
1571,Binghamton,34,1104,316,0.286,104,34,62,1.82,13,0.38,36,13,49,1.06,7,30,423,0.383,3,0.09,175,5.1,4/24/11
1572,LIU Brooklyn,36,1144,327,0.286,131,36,68,1.89,5,0.14,40,20,60,1.11,11,21,430,0.376,10,0.28,186,5.2,4/24/11
1573,East Carolina,40,1370,391,0.285,152,40,67,1.68,26,0.65,31,18,49,0.78,11,36,548,0.4,6,0.15,214,5.4,4/24/11
1574,Texas Tech,42,1395,398,0.285,189,42,81,1.93,16,0.38,76,17,93,1.81,22,32,545,0.391,9,0.21,245,5.8,4/24/11
1575,LSU,41,1330,379,0.285,156,41,64,1.56,26,0.63,67,25,92,1.63,21,44,539,0.405,9,0.22,266,6.5,4/24/11
1576,Houston,41,1411,402,0.285,140,41,74,1.8,15,0.37,48,15,63,1.17,12,51,559,0.396,19,0.46,237,5.8,4/24/11
1577,Illinois St.,37,1254,357,0.285,190,37,87,2.35,29,0.78,67,15,82,1.81,14,23,547,0.436,8,0.22,266,7.2,4/24/11
1578,La Salle,38,1280,364,0.284,108,38,76,2,10,0.26,33,24,57,0.87,17,40,494,0.386,12,0.32,202,5.3,4/24/11
1579,Wichita St.,43,1523,433,0.284,206,43,89,2.07,25,0.58,73,17,90,1.7,15,21,625,0.41,14,0.33,285,6.6,4/24/11
1580,Lafayette,35,1151,327,0.284,123,35,54,1.54,18,0.51,31,17,48,0.89,18,16,457,0.397,11,0.31,187,5.3,4/24/11
1581,Ole Miss,41,1394,396,0.284,146,41,67,1.63,29,0.71,38,12,50,0.93,12,33,564,0.405,7,0.17,232,5.7,4/24/11
1582,Texas A&M,40,1343,381,0.284,114,40,61,1.53,18,0.45,67,22,89,1.68,17,38,538,0.401,21,0.53,225,5.6,4/24/11
1583,Loyola Marymount,38,1234,350,0.284,115,38,66,1.74,9,0.24,39,27,66,1.03,14,43,457,0.37,7,0.18,166,4.4,4/24/11
1584,La.-Lafayette,41,1340,380,0.284,159,41,72,1.76,21,0.51,52,27,79,1.27,18,44,547,0.408,16,0.39,215,5.2,4/24/11
1585,Cincinnati,37,1224,347,0.283,146,37,62,1.68,18,0.49,46,25,71,1.24,13,20,473,0.386,5,0.14,199,5.4,4/24/11
1586,Indiana,40,1429,405,0.283,133,40,76,1.9,16,0.4,57,14,71,1.43,14,34,543,0.38,7,0.18,220,5.5,4/24/11
1587,Fresno St.,35,1168,331,0.283,126,35,74,2.11,27,0.77,30,16,46,0.86,10,40,512,0.438,13,0.37,201,5.7,4/24/11
1588,Pacific,35,1221,346,0.283,102,35,67,1.91,10,0.29,36,15,51,1.03,12,27,457,0.374,7,0.2,163,4.7,4/24/11
1589,Central Conn. St.,36,1154,327,0.283,149,36,53,1.47,10,0.28,31,16,47,0.86,17,36,430,0.373,10,0.28,184,5.1,4/24/11
1590,UNC Asheville,40,1395,395,0.283,161,40,71,1.78,11,0.28,52,18,70,1.3,13,20,511,0.366,6,0.15,216,5.4,4/24/11
1591,Citadel,40,1364,386,0.283,119,40,77,1.93,18,0.45,58,14,72,1.45,16,31,533,0.391,8,0.2,219,5.5,4/24/11
1592,Middle Tenn.,41,1418,401,0.283,150,41,75,1.83,26,0.63,41,18,59,1,15,21,572,0.403,9,0.22,201,4.9,4/24/11
